date,FSS_S01_B1_003,FSS_S01_B1_004,FSS_S01_B2_005
2017/7/10,-6.928721,-13.118894,-4.933007
2017/7/11,-6.928721,-13.118894,-4.933007
2017/7/12,-7.256289,-13.684979,-5.259264
2017/7/13,-7.256289,-13.684979,-5.259264
2017/7/14,-7.583857,-14.817149,-5.58552
2017/7/15,-7.911426,-15.100192,-5.911776
2017/7/16,-8.238994,-15.666277,-6.238033
2017/7/17,-8.730346,-16.798447,-6.727417
2017/7/18,-9.221699,-17.08149,-7.216802
2017/8/16,-9.221699,-17.08149,-7.216802
2017/8/17,-8.89413,-17.364533,-6.890546
2017/8/18,-9.057915,-17.08149,-7.053674
2017/8/19,-8.89413,-17.08149,-6.890546
2017/8/20,-9.221699,-17.08149,-7.216802
2017/8/21,-9.057915,-17.08149,-7.053674
2017/8/22,-9.057915,-17.647576,-7.053674
2017/8/23,-9.549267,-18.496703,-7.543058
2017/8/24,-9.876835,-19.062788,-7.869314
2017/8/25,-10.368188,-19.345831,-8.358699
2017/8/26,-9.713051,-17.930618,-7.706186
2017/8/27,-9.876835,-18.496703,-7.869314
2017/8/28,-9.876835,-18.496703,-7.869314
2017/8/29,-9.713051,-18.496703,-7.706186
2017/8/30,-9.549267,-17.364533,-7.543058
2017/8/31,-9.057915,-15.94932,-7.053674
2017/9/1,-8.566562,-15.383235,-6.564289
2017/9/2,-7.911426,-14.534107,-5.911777
2017/9/3,-7.911426,-14.251065,-5.911777
2017/9/4,-7.420073,-13.118894,-5.422392
2017/9/5,-6.928721,-12.835852,-4.933008
2017/9/6,-6.601152,-12.835852,-4.606751
2017/9/7,-6.928721,-12.269767,-4.933008
2017/9/8,-6.601152,-12.835852,-4.606751
2017/9/9,-6.601152,-13.118894,-4.606751
2017/9/10,-6.928721,-13.401937,-4.933008
2017/9/11,-6.764936,-13.118894,-4.769879
2017/9/12,-6.273584,-12.269767,-4.280495
2017/9/13,-6.601152,-12.552809,-4.606751
2017/9/14,-6.601152,-12.552809,-4.606751
2017/9/15,-6.273584,-12.552809,-4.280495
2017/9/16,-6.273584,-12.269767,-4.280495
2017/9/17,-6.273584,-12.269767,-4.280495
2017/9/18,-6.273584,-12.269767,-4.280495
2017/9/19,-6.273584,-11.986724,-4.280495
2017/9/20,-6.273584,-11.420639,-4.280495
2017/9/21,-5.946016,-11.420639,-3.954239
2017/9/22,-6.273584,-11.137597,-4.280495
2017/9/23,-5.618448,-10.854554,-3.627983
2017/9/24,-5.618448,-10.005426,-3.627983
2017/9/25,-5.290879,-9.722384,-3.301727
2017/9/26,-5.127095,-10.005426,-3.138598
2017/9/27,-5.618448,-9.722384,-3.627983
2017/9/28,-5.127095,-9.439341,-3.138598
2017/9/29,-4.799527,-9.156299,-2.812342
2017/9/30,-4.963311,-8.873256,-2.97547
2017/10/1,-4.799527,-9.156299,-2.812342
2017/10/2,-4.799527,-8.590214,-2.812342
2017/10/3,-4.308174,-8.024128,-2.322958
2017/10/4,-3.980606,-7.175001,-1.996701
2017/10/5,-3.653038,-5.759788,-1.670445
2017/10/6,-2.506549,-4.627618,-0.528548
2017/10/7,-2.015196,-4.627618,-0.039163
2017/10/8,-2.342765,-5.476745,-0.36542
2017/10/9,-2.670333,-5.759788,-0.691676
2017/10/10,-3.32547,-6.891958,-1.344189
2017/10/11,-3.161685,-5.759788,-1.18106
2017/10/12,-2.834117,-4.627618,-0.854804
2017/10/13,-2.015196,-3.212405,-0.039163
2017/10/14,-2.015196,-3.77849,-0.039163
2017/10/15,-1.687628,-3.495447,0.287093
2017/10/16,-1.196276,-2.64632,0.776477
2017/10/17,-1.196276,-2.64632,0.776477
2017/10/18,-1.032492,-2.363278,0.939605
2017/10/19,-1.196276,-2.080235,0.776477
2017/10/20,-0.868708,-2.363278,1.102733
2017/10/21,-0.54114,-1.51415,1.428989
2017/10/22,-0.704924,-1.51415,1.265861
2017/10/23,-0.54114,-1.51415,1.428989
2017/10/24,-0.868708,-1.797192,1.102733
2017/10/25,-0.213572,-0.665022,1.755246
2017/10/26,-0.377356,-1.231107,1.592117
2017/10/27,-0.377356,-1.51415,1.592117
2017/10/28,-0.377356,-1.231107,1.592117
2017/10/29,-0.049787,-0.948065,1.918374
2017/10/30,0.441565,-0.098937,2.407758
2017/10/31,0.277781,0.184106,2.24463
2017/11/1,0.769133,1.033233,2.734015
2017/11/2,1.096702,1.033233,3.060271
2017/11/3,0.769133,0.750191,2.734015
2017/11/4,0.769133,1.316276,2.734015
2017/11/5,1.42427,1.882361,3.386527
